GEOID,NAME,flood_frac,pop_total,pop_poverty,pop_black,pop_hispanic,households_total,households_nocar,exposed_pop_total,exposed_pop_poverty,exposed_pop_black,exposed_pop_hispanic,exposed_households_total,exposed_households_nocar
37141920300,9203,0.0,1442,153,188,247,615,78,0.0,0.0,0.0,0.0,0.0,0.0
37141990100,9901,0.0,6372,1454,2269,1428,2442,297,0.0,0.0,0.0,0.0,0.0,0.0
37071031600,316,0.0,5512,1727,1002,863,2136,353,0.0,0.0,0.0,0.0,0.0,0.0
37071031800,318,0.0,3959,642,539,829,1708,173,0.0,0.0,0.0,0.0,0.0,0.0
37155961801,9618.01,0.0,3917,314,2016,278,1404,114,0.0,0.0,0.0,0.0,0.0,0.0
37155961601,9616.01,0.0,6981,2047,499,706,2733,291,0.0,0.0,0.0,0.0,0.0,0.0
37155960503,9605.03,0.0,1418,275,471,335,561,33,0.0,0.0,0.0,0.0,0.0,0.0
37155960502,9605.02,0.0,5821,1276,1886,1302,2708,335,0.0,0.0,0.0,0.0,0.0,0.0
37155960702,9607.02,0.0,2250,775,394,333,980,142,0.0,0.0,0.0,0.0,0.0,0.0
37071032000,320,0.0,1478,343,408,191,612,32,0.0,0.0,0.0,0.0,0.0,0.0
37163970302,9703.02,0.0,4590,814,430,567,1806,140,0.0,0.0,0.0,0.0,0.0,0.0
37045951503,9515.03,0.0,7824,1259,3212,262,3181,509,0.0,0.0,0.0,0.0,0.0,0.0
37045950102,9501.02,0.0,6097,1068,980,1373,2314,244,0.0,0.0,0.0,0.0,0.0,0.0
37045951501,9515.01,0.0,6280,537,921,1307,2749,301,0.0,0.0,0.0,0.0,0.0,0.0
37045951502,9515.02,0.0,5965,1720,1237,745,2301,318,0.0,0.0,0.0,0.0,0.0,0.0
37071032301,323.01,0.0,6459,1946,3237,544,2417,282,0.0,0.0,0.0,0.0,0.0,0.0
37191000104,1.04,0.0,4495,608,2014,444,1705,68,0.0,0.0,0.0,0.0,0.0,0.0
37191000103,1.03,0.0,1722,243,901,83,652,98,0.0,0.0,0.0,0.0,0.0,0.0
37191001401,14.01,0.0,6846,2138,2573,1273,2515,423,0.0,0.0,0.0,0.0,0.0,0.0
37191000603,6.03,0.0,4042,231,1541,598,1872,71,0.0,0.0,0.0,0.0,0.0,0.0
37191000604,6.04,0.0,4402,907,1276,325,1700,81,0.0,0.0,0.0,0.0,0.0,0.0
37191001402,14.02,0.0,3469,655,1743,566,1248,168,0.0,0.0,0.0,0.0,0.0,0.0
37191001103,11.03,0.0,2114,543,645,518,845,101,0.0,0.0,0.0,0.0,0.0,0.0
37191001104,11.04,0.0,7472,739,1700,359,3317,289,0.0,0.0,0.0,0.0,0.0,0.0
37071031001,310.01,0.0,6427,1609,2379,806,2296,254,0.0,0.0,0.0,0.0,0.0,0.0
37071031301,313.01,0.0,5435,886,1755,726,2445,331,0.0,0.0,0.0,0.0,0.0,0.0
37071031500,315,0.0,3697,871,414,215,1583,167,0.0,0.0,0.0,0.0,0.0,0.0
37071030700,307,0.0,6723,417,1656,956,3027,154,0.0,0.0,0.0,0.0,0.0,0.0
37071033202,332.02,0.0,4727,891,976,753,1949,84,0.0,0.0,0.0,0.0,0.0,0.0
37107010300,103,0.0,3992,825,1889,224,1668,159,0.0,0.0,0.0,0.0,0.0,0.0
37107010400,104,0.0,4043,462,967,224,1654,278,0.0,0.0,0.0,0.0,0.0,0.0
37107010500,105,0.0,2436,223,1122,528,885,100,0.0,0.0,0.0,0.0,0.0,0.0
37107010600,106,0.0,1463,155,396,134,600,50,0.0,0.0,0.0,0.0,0.0,0.0
37057061902,619.02,0.0,4793,734,2045,790,1948,323,0.0,0.0,0.0,0.0,0.0,0.0
37057060302,603.02,0.0,7192,568,846,1180,2643,233,0.0,0.0,0.0,0.0,0.0,0.0
37119002701,27.01,0.0,1259,420,645,268,471,50,0.0,0.0,0.0,0.0,0.0,0.0
37119005404,54.04,0.0,6979,1196,2025,1327,3077,146,0.0,0.0,0.0,0.0,0.0,0.0
37119005403,54.03,0.0,6758,1978,1215,1441,3204,450,0.0,0.0,0.0,0.0,0.0,0.0
37119005519,55.19,0.0,2792,955,476,457,1098,148,0.0,0.0,0.0,0.0,0.0,0.0
37119005516,55.16,0.0,5347,396,976,659,1986,296,0.0,0.0,0.0,0.0,0.0,0.0
37119005515,55.15,0.0,1989,488,464,219,799,62,0.0,0.0,0.0,0.0,0.0,0.0
37097060200,602,0.0,6258,1948,2558,670,2784,265,0.0,0.0,0.0,0.0,0.0,0.0
37155961200,9612,0.0,5843,1403,3066,679,2231,123,0.0,0.0,0.0,0.0,0.0,0.0
37055970102,9701.02,0.0,3352,599,1288,166,1304,227,0.0,0.0,0.0,0.0,0.0,0.0
37055970602,9706.02,0.0,1289,231,417,151,516,22,0.0,0.0,0.0,0.0,0.0,0.0
37049961002,9610.02,0.0,7789,473,2136,853,2880,366,0.0,0.0,0.0,0.0,0.0,0.0
37049961302,9613.02,0.0,4008,843,1860,112,1513,205,0.0,0.0,0.0,0.0,0.0,0.0
37137990100,9901,0.0,7230,2516,3433,602,2815,151,0.0,0.0,0.0,0.0,0.0,0.0
37015960100,9601,0.0,5681,1917,1116,1096,2214,187,0.0,0.0,0.0,0.0,0.0,0.0
37015960200,9602,0.0,6404,397,3373,979,2498,91,0.0,0.0,0.0,0.0,0.0,0.0
37169070200,702,0.0,6271,1641,1552,1288,2541,288,0.0,0.0,0.0,0.0,0.0,0.0
37169070400,704,0.0,2201,309,990,318,907,162,0.0,0.0,0.0,0.0,0.0,0.0
37169070600,706,0.0,3420,1097,1824,740,1317,124,0.0,0.0,0.0,0.0,0.0,0.0
37077970704,9707.04,0.0,4160,264,1671,844,1645,293,0.0,0.0,0.0,0.0,0.0,0.0
37097060601,606.01,0.0,4384,1450,573,186,1794,87,0.0,0.0,0.0,0.0,0.0,0.0
37105030102,301.02,0.0,1115,335,382,272,509,45,0.0,0.0,0.0,0.0,0.0,0.0
37105030101,301.01,0.0,4735,403,517,110,1827,301,0.0,0.0,0.0,0.0,0.0,0.0
37055970601,9706.01,0.0,1910,129,849,300,748,120,0.0,0.0,0.0,0.0,0.0,0.0
37159050904,509.04,0.0,6152,1848,1172,1244,2629,206,0.0,0.0,0.0,0.0,0.0,0.0
37159051501,515.01,0.0,5717,552,2273,550,2433,320,0.0,0.0,0.0,0.0,0.0,0.0
